Society_name_EA,Family,latitude,longitude,Moralizing.bin,AnimHusbandry,Agriculture,JurLevelGlobal,Stability,Abundance
Kuku,Nilo-Saharan,4,32,0,1,1,1,0.742684268,0.315075125
Lango,Nilo-Saharan,2,33,0,1,1,0,0.661530366,0.414169817
Lotuko,Nilo-Saharan,4,33,0,1,1,1,0.704606526,0.306150524
Luo,Indo-European,-1,34,0,1,1,1,0.024165314,0.406289332
Nandi,Nilo-Saharan,0,35,0,1,0,1,0.08343587,1.312326616
Nuer,Nilo-Saharan,8,32,1,1,0,0,1.243907637,-0.614971989
Shilluk,Nilo-Saharan,10,32,0,1,1,1,1.249297021,-0.772846918
Suri,Nilo-Saharan,6,35,0,1,1,1,0.248477977,0.407046478
Teso,Nilo-Saharan,2,34,0,1,1,1,0.68294843,0.260633778
Topotha,Nilo-Saharan,5,34,0,1,0,1,1.241151253,-0.407646121
Turkana,Nilo-Saharan,4,35,0,1,1,0,1.192526966,-0.639262939
Kanuri,Nilo-Saharan,12,13,1,1,1,3,1.615213519,-1.041720615
Mao,Nilo-Saharan,9,35,0,1,1,1,0.049033378,0.36022486
Asben,Afro-Asiatic,18,8,1,1,0,2,1.876002644,-2.759412453
Beraber,Afro-Asiatic,33,-7,1,1,1,2,-0.937388978,-0.749709282
Ifora,Afro-Asiatic,20,2,1,1,0,2,1.840538482,-3.372152996
Kabyle,Afro-Asiatic,36,4,1,1,1,3,-1.092063856,-0.684704952
Riffians,Afro-Asiatic,35,-4,1,1,1,1,-0.874142538,-0.574295309
Shluh,Afro-Asiatic,30,-9,1,1,1,1,-0.141182044,-1.492937119
Tekna,Afro-Asiatic,28,-11,1,1,1,1,0.89122358,-2.641706245
Udalan,Afro-Asiatic,16,0,1,1,1,2,1.879940175,-2.163768366
Zekara,Afro-Asiatic,34,-2,1,1,0,2,-0.843345707,-1.039453408
Afar,Afro-Asiatic,12,42,1,1,0,2,1.115793506,-1.620161443
Amarar,Afro-Asiatic,20,36,1,1,0,1,1.134469548,-2.664810036
Anfillo,Afro-Asiatic,9,35,0,1,1,2,0.049033378,0.36022486
Arbore,Afro-Asiatic,5,37,0,1,1,1,0.841120742,-0.156766181
Arusi,Afro-Asiatic,8,40,0,1,0,2,0.283393272,-0.043231928
Baditu,Afro-Asiatic,6,38,0,1,1,2,-0.252848977,0.991203234
Bako,Afro-Asiatic,6,37,0,1,1,2,0.155786913,0.471650726
Banna,Afro-Asiatic,6,36,0,1,0,1,0.361430412,0.384420598
Basketo,Afro-Asiatic,6,37,0,1,1,1,0.155786913,0.471650726
Beni Amer,Afro-Asiatic,18,38,1,1,0,2,1.254929761,-2.103487099
Bogo,Afro-Asiatic,16,36,1,1,0,1,1.069359362,-1.775128528
Dime,Afro-Asiatic,6,36,0,1,1,1,0.361430412,0.384420598
Esa,Afro-Asiatic,10,43,1,1,0,3,0.703466945,-0.999928227
Galab,Afro-Asiatic,5,36,0,1,0,1,1.209463849,-0.456145337
Gibe,Afro-Asiatic,8,37,1,1,1,3,-0.162372175,0.722051741
Goroa,Afro-Asiatic,-4,36,0,1,0,0,0.468078928,0.58518833
Hammar,Afro-Asiatic,5,36,0,1,0,1,1.209463849,-0.456145337
Janjero,Afro-Asiatic,8,38,0,1,1,3,-0.116028713,0.409750564
Jimma,Afro-Asiatic,8,37,1,1,1,3,-0.162372175,0.722051741
Kafa,Afro-Asiatic,7,36,0,1,1,4,-0.202675891,0.794167403
Konso,Afro-Asiatic,6,37,0,1,1,0,0.155786913,0.471650726
Male,Afro-Asiatic,6,37,0,1,0,2,0.155786913,0.471650726
Shako,Afro-Asiatic,7,36,0,1,1,2,-0.202675891,0.794167403
Shangama,Afro-Asiatic,6,37,0,1,1,1,0.155786913,0.471650726
Sidamo,Afro-Asiatic,7,38,0,1,1,1,0.358122519,0.202903326
Somali,Afro-Asiatic,8,48,1,1,0,2,1.938821487,-2.021128546
Ubamer,Afro-Asiatic,6,37,0,1,1,2,0.155786913,0.471650726
Bolewa,Afro-Asiatic,11,11,1,1,1,2,1.453051017,-0.657012183
Gisiga,Afro-Asiatic,10,14,0,1,1,1,1.543365638,-0.542490652
Gude,Afro-Asiatic,10,13,0,1,1,0,1.34924049,-0.432008758
Hausa Kanawa,Afro-Asiatic,12,9,1,1,1,2,1.380853429,-0.819680036
Kapsiki,Afro-Asiatic,11,14,0,1,1,1,1.658877559,-0.789764805
Kotoko,Afro-Asiatic,12,15,1,1,1,2,1.84813355,-1.161377432
Matakam,Afro-Asiatic,11,14,0,1,1,0,1.658877559,-0.789764805
Podokwo,Afro-Asiatic,11,14,0,1,1,1,1.658877559,-0.789764805
Tazarawa,Afro-Asiatic,14,8,1,1,1,2,1.471674464,-1.588446055
Tuburi,Niger-Congo,10,15,0,1,1,0,1.634434442,-0.616160384
Zazzagawa Hausa,Afro-Asiatic,11,8,1,1,1,3,1.09990146,-0.251999195
Amhara,Afro-Asiatic,13,38,1,1,1,3,0.07501214,-0.17045937
Egyptians,Afro-Asiatic,25,33,1,1,1,3,1.637009405,-3.280500184
Gurage,Afro-Asiatic,8,38,0,1,1,0,-0.116028713,0.409750564
Hamyan,Afro-Asiatic,35,2,1,1,0,3,-1.041337428,-1.06760268
Hebrews,Afro-Asiatic,32,35,1,1,1,2,-0.485127659,-0.683903997
Hemat,Afro-Asiatic,11,20,1,1,0,1,2.116941,-1.126169209
Jebala,Afro-Asiatic,35,-5,1,1,1,2,-1.212725937,-0.251750528
Jordanians,Afro-Asiatic,32,36,1,1,1,2,-0.193577835,-1.500855212
Kababish,Afro-Asiatic,17,31,1,1,0,2,1.402341973,-2.619139793
Lebanese,Afro-Asiatic,34,36,1,1,1,3,-1.093294489,-0.397290786
Messiria Humr,Afro-Asiatic,11,28,1,1,0,3,1.422697359,-1.35238506
Moroccans,Afro-Asiatic,33,-8,1,1,1,4,-0.591556535,-0.964120539
Nail,Afro-Asiatic,35,5,1,1,0,1,-0.631876057,-1.405498493
Regeibat,Afro-Asiatic,22,-13,1,1,0,3,1.612636981,-3.510453597
Rwala,Afro-Asiatic,33,37,1,1,0,1,-0.127677075,-2.126953434
Sanusi,Afro-Asiatic,31,22,1,1,0,3,0.469213841,-2.292230101
Shuwa,Afro-Asiatic,13,15,1,1,0,2,1.951138639,-1.68131128
Tigrinya,Afro-Asiatic,14,39,1,1,1,2,-0.12867769,-0.200258665
Trarza,Afro-Asiatic,18,-15,1,1,0,3,1.62651807,-2.801237144
Tunisians,Afro-Asiatic,37,10,1,1,1,4,-0.964704748,-0.56805584
Yemeni,Afro-Asiatic,15,45,1,1,1,3,1.762922721,-2.373744479
Abor,Sino-Tibetan,28,95,0,1,1,0,-0.945634425,1.232344822
Aimol,Sino-Tibetan,25,94,0,1,1,0,-0.896904165,1.324763705
Akha,Sino-Tibetan,21,100,0,1,1,0,-0.38720144,1.247135466
Angami,Sino-Tibetan,26,94,0,1,1,0,-0.674057762,1.36406657
Ao,Sino-Tibetan,27,94,0,1,1,0,-0.246945966,0.731174027
Burmese,Sino-Tibetan,20,95,0,1,1,3,0.3914644,0.360402063
Chin,Sino-Tibetan,22,94,0,1,1,1,-0.228198933,0.978810482
Garo,Sino-Tibetan,26,91,0,1,1,1,-0.318933166,0.871453575
Kachin,Sino-Tibetan,26,97,0,1,1,1,-0.69973387,1.230673325
Karen,Sino-Tibetan,17,97,0,1,1,0,0.271628207,0.714578329
